,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
0,4,Sobre planos,,,,,,,,,,,
1,5,,3,2,1,84,84,1 a 8 años,6,$ 544.000 COP,"$ 6.369.047,62",$535.000.000,
2,3,,2,1,,37,0,1 a 8 años,,$ 100.000 COP,"$ 4.864.864,86",$180.000.000,
3,3,En construcción,,,,,,,,,,,
4,6,,3,2,2,97,97,16 a 30 años,,$ 467.000 COP,"$ 5.257.731,96",$510.000.000,
5,6,,3,3,1,230,230,16 a 30 años,13,$ 1.120.000 COP,"$ 4.782.608,7",$1.100.000.000,
6,6,,6,7,,1.200,0,,,No definida,"$ 6.666.666,67",$8.000.000.000,
7,5,Sobre planos,,,,,,,,,,,
8,3,,3,2,1,64,64,9 a 15 años,3,$ 288.000 COP,$ 4.687.500,$300.000.000,
9,4,Excelente,4,4,2,178,0,más de 30 años,2,$ 849.000 COP,"$ 3.370.786,52",$600.000.000,
10,6,,3,4,4,310,210,1 a 8 años,4,$ 1.330.000 COP,"$ 6.274.193,55",$1.945.000.000,
11,3,Excelente,4,2,1,75,0,16 a 30 años,5,$ 153.000 COP,"$ 3.866.666,67",$290.000.000,
12,5,Sobre planos,,,,,,,,,,,
13,6,,2,2,1,68,68,1 a 8 años,Otro,$ 220.000 COP,$ 7.500.000,$510.000.000,
14,4,,3,2,,129,129,9 a 15 años,2,No definida,"$ 3.488.372,09",$450.000.000,
15,4,Bueno,3,2,1,77,77,1 a 8 años,8,$ 248.000 COP,"$ 4.545.454,55",$350.000.000,
16,6,,3,2,2,110,110,16 a 30 años,3,$ 430.000 COP,"$ 5.727.272,73",$630.000.000,
17,5,Excelente,3,3,1,101,101,1 a 8 años,4,$ 350.000 COP,"$ 6.920.792,08",$699.000.000,
18,5,En construcción,,,,,,,,,,,
19,3,,2,2,,51,0,,3,No definida,"$ 5.294.117,65",$270.000.000,
20,6,,3,3,2,174,0,más de 30 años,9,$ 690.000 COP,"$ 4.310.344,83",$750.000.000,
21,5,,2,2,1,101,101,16 a 30 años,3,$ 250.000 COP,"$ 4.851.485,15",$490.000.000,
22,5,,3,2,1,73,73,16 a 30 años,4,$ 370.000 COP,"$ 6.438.356,16",$470.000.000,
23,4,,2,2,1,52,52,,12,$ 182.000 COP,"$ 5.096.153,85",$265.000.000,
24,4,Sobre planos,,,,,,,,,,,
25,6,,3,3,2,135,0,9 a 15 años,8,$ 680.000 COP,"$ 6.629.629,63",$895.000.000,
26,6,Sobre planos,,,,,,,,,,,
27,3,,4,3,1,160,0,9 a 15 años,2,No definida,$ 2.187.500,$350.000.000,
28,6,,3,4,3,402,0,más de 30 años,1,$ 1.500.000 COP,"$ 4.726.368,16",$1.900.000.000,
29,4,Bueno,4,4,1,284,284,16 a 30 años,1,$ 160.000 COP,"$ 2.887.323,94",$820.000.000,
30,5,,2,2,2,100,0,9 a 15 años,,No definida,$ 7.650.000,$765.000.000,
31,5,En construcción,,,,,,,,,,,
32,3,,2,2,1,72,72,1 a 8 años,,No definida,"$ 4.583.333,33",$330.000.000,
33,5,En construcción,,,,,,,,,,,
34,4,,1,1,,15,15,1 a 8 años,3,$ 115.000 COP,"$ 9.333.333,33",$140.000.000,
35,4,,4,4,1,262,142,1 a 8 años,6,$ 280.000 COP,"$ 4.580.152,67",$1.200.000.000,PentHouse
36,5,Sobre planos,,,,,,,,,,,
37,6,,3,5,3,205,205,menor a 1 año,13,$ 800.000 COP,"$ 8.292.682,93",$1.700.000.000,
38,3,,4,2,,90,0,,1,No definida,"$ 3.111.111,11",$280.000.000,
39,4,,3,2,1,74,74,9 a 15 años,13,$ 330.000 COP,"$ 5.810.810,81",$430.000.000,
40,5,En construcción,,,,,,,,,,,
41,4,,2,2,1,62,62,1 a 8 años,9,$ 265.000 COP,"$ 6.774.193,55",$420.000.000,
42,6,Excelente,2,3,2,189,189,1 a 8 años,12,No definida,"$ 6.878.306,88",$1.300.000.000,
43,5,,3,2,1,90,0,más de 30 años,5,$ 300.000 COP,"$ 5.211.111,11",$469.000.000,
44,5,,4,3,2,158,158,9 a 15 años,3,$ 80.000 COP,"$ 5.696.202,53",$900.000.000,
45,4,Sobre planos,,,,,,,,,,,
46,4,,3,2,1,59,0,1 a 8 años,,$ 245.000 COP,"$ 4.661.016,95",$275.000.000,
47,5,,3,4,2,250,0,,,No definida,$ 3.680.000,$920.000.000,
48,6,,3,4,2,128,128,1 a 8 años,,$ 494.000 COP,$ 7.812.500,$1.000.000.000,
49,5,,3,2,1,67,67,,Otro,$ 250.000 COP,"$ 6.865.671,64",$460.000.000,
50,3,,2,2,1,54,54,9 a 15 años,8,$ 180.000 COP,"$ 4.722.222,22",$255.000.000,
